name,age,street,city,state,zip,lng,lat
Jesse Wade,18,94294 Zhang Inlet,Maytown,Michigan,20933,-121.865280,18.1822895
George Rollins,18,94530 Daniel Villages Apt. 620,New Denisetown,North Carolina,20544,-77.638962,67.457034
Tommy Rice,18,6204 Ramos Harbors,Cynthiafort,Rhode Island,89968,-79.098791,-80.287319
Jessica Miller,18,44903 Ann Key,South Kyleshire,Illinois,10571,-152.159042,3.7765995
Jason Hall,18,9157 Jessica Radial,East Joshua,Oklahoma,56860,-84.487818,-64.652602
Eric Nichols,18,87495 Misty Gardens Suite 679,New Steve,Illinois,62356,-16.555135,54.0781645
James Diaz,18,620 Shawn Mountains,West Barrymouth,Michigan,43093,176.345923,-57.7535415
Corey Good,18,8902 Sean Run,Gibsonchester,New York,78823,11.710607,-46.491698
Linda Gardner,18,540 Hampton Walk,Ronaldland,Kentucky,29458,-134.665783,60.5224705
David Guerrero,18,987 Richard Views,Lake Douglasport,Delaware,64935,73.206003,88.6432505
Micheal Reyes,18,0633 James Drive Apt. 728,Lake Amandachester,New Mexico,06087,-78.467948,51.4695945
Joseph Hayes,18,483 Stephanie Glens Apt. 368,South Pamelaside,Texas,96403,-44.159353,55.502312
Carlos Rodriguez,18,83555 Kimberly Burg,Shawnville,Delaware,47613,167.051525,-3.0025415
Brenda Robles,18,098 Andrea Lodge,East Caitlyn,Texas,13509,-61.383375,-30.1963965
Nicholas Wright,18,415 Joshua Highway,Ashleyberg,Vermont,12099,-33.219385,44.0818605
Joel Parker,18,0023 Jackson Stream,South Stacymouth,Washington,67119,143.846566,13.2126825
Linda Alexander,18,0285 Nicole Crescent,New Victor,New Jersey,93894,32.703016,-62.5782125
Jamie Mckenzie,18,19993 Cameron Trace,Mayoside,New Hampshire,94932,-149.120118,29.6698495
Jon Price,18,883 Jones Mills,Aaronberg,New Jersey,17167,33.828233,85.5556485
Stacy Mcguire,18,569 Stephen Trace,West Walterview,Washington,32312,79.996672,9.112595
Michael Vega,18,2788 Lowe Loaf,Jamesmouth,Wisconsin,25920,168.668808,-4.0875055
Rebecca Turner,18,33817 Jason Wall Suite 050,South Richard,Utah,71871,20.395926,1.9385565
Angela Carpenter,18,36530 Peter Mountains Suite 302,Tylerbury,Georgia,78806,-53.976498,16.317886
Darlene Robertson,18,9827 Robert Forest,Port Jacobbury,Montana,42225,-175.614229,73.884727
Katherine Thomas,18,219 Ashley Neck Apt. 207,North Mackenzieside,Alaska,78682,-11.875074,-44.403950
Carlos Williams,18,718 Tracey Lake Suite 363,Steventown,Maryland,70083,73.049433,-67.7123065
John Hernandez,18,336 Parsons Via,North Christopherton,Rhode Island,62813,-109.021119,26.250964
Amy Ramirez,18,8750 Taylor Common,Port Ruben,Rhode Island,39409,26.069396,-13.531351
Kenneth Mason,18,35966 Tyler Manor,Jonesstad,Tennessee,93962,-135.264190,-51.921734
Jessica Hernandez,18,923 Frederick Rapids,Joshuaville,Texas,85104,-72.478815,42.180474
Nathan Collins,18,07582 Wolfe Park,Port Carl,Mississippi,21612,-155.684546,-29.862653
Katherine Suarez,18,98907 Roberto Ford,Timothyburgh,Kansas,57830,-120.931506,-27.3500575
Rebecca Guerra,18,457 Hendricks Causeway,Harrisside,Tennessee,44718,-4.311209,44.663508
Mathew Fernandez,18,1804 Hernandez Meadow,Amandashire,Kansas,67558,31.457190,26.6939635
James Downs DDS,18,78944 Alisha Row,Mariamouth,Colorado,72185,115.868950,22.383209
Lisa Soto,18,2599 Adrienne Stream Apt. 869,West Charlesmouth,South Carolina,45374,149.958736,41.530272
Julie Mccarthy,18,2137 Sharon Trail,South Lawrence,Indiana,22320,-173.313921,-58.530668
Amanda Mckenzie,18,78669 Leon Radial,West Emilyfort,Alaska,53659,-87.575811,66.030723
Linda Harris,18,103 James Forge Suite 031,Perezview,Delaware,47456,-16.816954,67.3584585
Paula Johnson,18,0917 Wright Bypass,South Richardview,Oregon,13828,-56.019802,-39.2248095
Michael Ramos,18,46881 Linda Mall Suite 794,Michelleside,Arkansas,89129,119.123865,-33.632984
Mary Phillips,18,5158 Terri Trafficway Suite 828,New Toddberg,Louisiana,06203,-179.952385,68.8260245
Richard Thompson,18,19337 Johnson Spurs Suite 930,Lake Jose,Oregon,73911,-2.695035,15.0752015
Kevin Cuevas,18,726 Natalie Port Apt. 858,Jacobport,New York,30902,10.280972,-13.912361
Joanne Aguilar,18,91212 Isaac Forest Apt. 706,West Shane,Kansas,61683,-98.165952,-57.501774
Rebecca Rose,18,541 Nicole Islands Suite 611,West Williamborough,Indiana,03671,124.627014,20.895068
Sheri Hughes,18,2324 Robertson Well,New Dannyborough,Delaware,77482,151.325646,-21.643886
Allison Fields,18,7204 Bianca Plains Apt. 621,Joannemouth,Connecticut,30228,-15.105788,-66.405781
Spencer Mccormick,18,916 Nicole Ranch,Port Christopherburgh,Oklahoma,30342,85.467916,32.9597795
Rachel Johnson,18,38825 Jay Prairie Suite 738,Lake Robert,Mississippi,86585,-39.757197,-89.1632425
Heidi Morris,18,5894 Christopher Knoll,Lake Michaelbury,Missouri,15680,159.711625,-53.6927965
Shane Hendricks,18,60503 Li Estates Suite 409,North Stephen,Washington,21213,139.879403,-88.937233
Evan Little,18,70404 Sanchez Corners,East Christopherburgh,Delaware,04691,168.930797,36.2459325
Christine Lynch,18,64975 David Ramp,Lake Brenda,Vermont,05354,-22.948532,-79.3197175
Antonio Ramirez,18,7907 Richard Mill Apt. 182,Juliechester,Rhode Island,66517,88.150428,-37.359631
Nicole Sharp,18,4281 Stone Islands,New Gregory,Washington,03453,-40.735109,25.9568645
Theresa Gray,18,4896 Ashley Mall Apt. 884,Patrickville,Massachusetts,27013,-20.334327,34.0255945
James Smith,18,3908 Freeman Junctions,Maciasmouth,South Carolina,17786,172.598225,-21.370480
Stephen Jefferson,18,6188 James Ramp Suite 109,South Cindy,Illinois,53818,114.478699,43.617831
Mary Bartlett,18,9073 Melton Loop,East Hannahburgh,Iowa,05838,69.284072,-36.8146665
Jared Estrada,18,7414 Harrison Ports Apt. 413,Port Crystalfurt,Arkansas,93157,-80.510308,-43.541786
George Mueller,18,386 Brandon Road,South Paulville,Mississippi,72626,138.225855,-65.586844
Amy Hodges,18,473 Marc Stravenue,East Samanthamouth,Missouri,83882,71.869702,-45.8060745
Lisa Gould,18,80379 Wilson Stream Apt. 978,Juliamouth,Alaska,18345,51.455273,-6.0285975
Tracy Jackson,18,6337 Smith Coves,Travismouth,Missouri,79289,12.228305,2.3700495
Tara Garcia,18,2328 Brian Viaduct Apt. 191,South Michael,Indiana,96936,75.127627,-48.7001415
Holly Carter,18,64499 Daniel Locks,Austinside,Oklahoma,80541,132.120946,17.5875985
Kelly Lee,18,178 Eaton Orchard Apt. 846,East Cassandraside,South Carolina,66650,115.341847,75.8465725
Steven Baker,18,285 Mario Lakes,New Alanville,Kansas,72398,-8.371582,-55.843690
Robert Allen,18,597 Washington Mountain,South Brian,Hawaii,45343,134.443752,34.573655
Mr. Robert Taylor,18,7801 King Spring,New Garyport,Connecticut,35495,9.593556,-35.3067655
Hannah Odonnell,18,757 Hughes Road Apt. 835,Butlerberg,California,07337,118.374885,52.5010895
Gabriel Golden,18,716 Hobbs Freeway,Alvarezborough,Massachusetts,89195,157.914761,9.6145995
Wendy Jones,18,5122 Baker Greens,East Anna,Iowa,43381,-156.495163,51.2679795
Alejandra Morgan,18,382 Monica Extensions Suite 441,East Kimberlyborough,Delaware,54078,99.129629,61.633958
Anne Meadows,18,4163 Smith Brook,Rodriguezborough,Wyoming,33050,25.490584,43.7753515
Luke Jones,18,32250 Andrew Underpass,West Joshuaborough,New Jersey,92386,-14.868988,-53.421444
Lauren Thompson,18,988 Lang Stravenue,Reginaldville,Minnesota,79301,0.165358,43.2778225
Ashley Mejia,18,5059 Tate Landing Suite 802,Antoniobury,Michigan,72536,-60.419473,-2.180019
Lisa Orr,18,284 Stephen Streets Apt. 788,Rickview,Utah,30776,16.072187,-31.478376
Beverly Johnson MD,18,7424 Helen Valleys Suite 994,Patriciachester,Missouri,11596,179.850422,-66.837042
Anthony Rios,18,073 Johnson Fort Suite 665,Christopherton,Maine,57544,-31.987725,-84.287485
Paula Edwards,18,580 Sexton Ridge,South Theresaville,Nebraska,01811,-10.353720,-69.327719
Michael Mcclain,18,6575 Diamond Springs Suite 909,Starkton,Maine,83837,119.040409,-27.9356565
Jennifer Taylor,18,8514 Thompson Keys Apt. 585,Joannachester,Florida,24683,-150.666140,18.2006705
Leon Diaz,18,202 Holmes Valley,Riverashire,Mississippi,12311,-177.107371,55.239305
Ashley Bell MD,18,193 Tonya Lights Suite 769,Karlhaven,Maine,06930,-57.292153,61.4512325
Crystal Larson,18,86810 Howell Meadows,Port Bryanchester,Delaware,61967,122.406773,33.8168125
Micheal White,18,6472 Buckley Land Apt. 319,West Yvonneberg,Iowa,52551,46.869725,-51.2392875
Tiffany Hill,18,99990 James Garden Suite 706,West Timothy,Maryland,43567,-18.459342,44.096831
Janet Stephens,18,6076 Cox Stravenue,Wileystad,Michigan,18436,-112.098212,19.701637
Ashley Davis,18,159 Daniel Brook,East Brandonborough,Pennsylvania,87246,48.390745,-8.4279495
Cody Cuevas,18,69414 Ramirez Flat Apt. 181,North Brendaburgh,California,09953,37.159146,-40.0941715
George Alvarez,18,275 Nelson Run,Torreshaven,Utah,88564,78.228974,84.146249
Sarah Williams,18,165 Gonzalez Forge Suite 411,Port Donald,Missouri,24582,-118.944253,-22.495827
Kevin Jones,18,8195 Tanya Causeway,West Joelfurt,Georgia,10546,-91.384915,-85.2203065
John Simmons,18,73495 Foster Loaf Apt. 205,West William,Virginia,94391,-43.120010,61.461014
Ian Gregory,18,6787 Williams Roads,Glovermouth,West Virginia,26383,172.099235,-19.0257525
Jasmine Russo,18,49051 Johnson Pass Apt. 821,Anthonyberg,Washington,69223,-40.731399,51.696969
Patricia Campos,18,761 Wong Loaf Suite 255,Lake Paul,Wisconsin,76700,128.681329,-36.1746845
Randall Roth,18,564 Medina Springs Suite 250,Morsetown,Iowa,83331,137.627191,1.8693835
Diana Todd,18,884 Wilson Village Apt. 261,Lake Sierra,Washington,50925,64.312701,28.783336
Bruce Smith,18,44005 Shaun Greens Suite 396,East Hannah,Minnesota,03959,-136.581618,-37.364875
Anthony Davis,18,287 Mathews Summit Apt. 947,Port Danielle,Wisconsin,11646,-23.483666,4.1299505
Thomas Mendez,18,909 Dawn Valley Suite 839,West Donna,Maine,79435,-142.928732,-19.139665
Cheryl Harmon,18,9182 Hahn Groves Suite 330,Derrickchester,Wisconsin,50500,-42.158310,38.573350
Julie Norman,18,8332 Macdonald Manor,Martinborough,Florida,77322,-38.401946,88.138966
Erica Smith,18,5134 Todd Run Suite 847,Port Jackie,North Carolina,53729,-2.710662,-80.7762565
Susan Hebert,18,79321 Susan Mills Suite 610,North Jenniferport,Tennessee,66688,79.031281,5.331991
Heidi Lee,18,947 Martinez Inlet Suite 182,Gonzalezbury,Ohio,83023,170.672738,13.3488685
Angela Hubbard,18,1153 Edwards Mountains,New Sean,Oklahoma,69729,-88.215611,10.0971515
Lauren Elliott,18,12825 Roberts Centers Suite 970,Port Kathryn,Arizona,27898,-90.742839,-37.340255
Keith Knight,18,7742 Stephen Square,Millermouth,North Dakota,07795,59.320746,15.5463965
Jessica Jennings,18,9024 Sabrina Views Suite 457,Maldonadofort,Alabama,56356,92.332392,-50.9812915
Jeffrey Ortiz,18,25545 Walker Ports Suite 254,Griffinshire,Hawaii,72225,-40.429659,-1.6794165
Darlene Hamilton,18,744 Davis Drive,West Cynthiaside,Ohio,10280,124.297170,-29.162406
Kimberly Monroe,18,117 Brittany Haven Suite 064,Anthonyborough,Minnesota,72955,-161.460562,26.733838
Gary Ruiz,18,64987 Lopez Valleys Suite 737,Whitneyland,Oklahoma,77071,-55.870741,-34.7724145
Christine Cunningham,18,9525 Tucker Inlet,West Roberthaven,Iowa,44363,15.216104,89.5578615
Crystal Hahn,18,07409 Ball Plaza,South Darrenport,Minnesota,89519,-169.090208,-28.978461
Mr. Shane Blanchard,18,590 Morton Grove Apt. 381,Kimberlyborough,Virginia,30788,165.985548,-5.002297
James Jones,18,332 Davis Forge Apt. 594,Kimberlyton,Hawaii,47737,-75.574216,6.4849595
Shannon Snyder,18,72492 Robert Views,Edwardsmouth,Oregon,02577,149.775737,-64.772860
Alexis Moore,18,6834 Blake Fields,South Lawrenceland,Ohio,49288,40.625397,-67.873679
Tom Cook,18,31981 Allen Place Suite 358,North Timothyport,Maryland,93452,-13.702494,-82.1695865
Aaron Underwood,18,49172 Krueger Hills Suite 194,East Caroline,Pennsylvania,48810,-39.919241,50.217448
Adam Wright,18,402 David Rest,Lake Amanda,Wisconsin,58263,-105.583270,28.749271
James Wood,18,674 Gregory Street,Johnstonton,New Jersey,39767,-135.688623,-15.1914585
Charles Warren,18,465 Lewis Roads,Hahnberg,Nebraska,64372,156.283905,-27.535836
Marcus Stevens,18,3880 Grant Radial,Port Dustin,Mississippi,35051,-113.878833,33.064976
Kevin Conrad,18,087 Reynolds Street Apt. 080,Jamieton,South Carolina,15718,-58.370812,-6.5843345
Jessica Doyle,18,1275 John Expressway,West James,Mississippi,90856,-5.250539,-15.293995
Adam Wolfe,18,33873 Castillo Fall,Phillipview,Alaska,71396,-136.276021,62.711790
Danielle Young,18,75254 Luke Green Apt. 251,Joseville,Kentucky,19048,-82.870119,-2.4604695
Jeffery Stout,18,1416 Tucker Ramp Apt. 883,East Albert,New Jersey,60100,85.728174,87.1233205
Tammy Gonzalez,18,203 Wendy Dale Suite 783,South Coreyburgh,New Hampshire,13066,92.931745,0.3827995
Frank Kim,18,9973 Lopez Shoal Apt. 018,New Evanstad,Missouri,53503,0.655296,11.285920
Michael Fuller,18,019 Hodges Springs,West Reginald,Oregon,53207,138.033726,82.434478
Valerie Campbell,18,2967 Buchanan Gardens,East Ashleybury,Louisiana,13590,-152.898494,-28.4807475
Emily Santos,18,7855 David Isle Apt. 205,North Annahaven,Arizona,28678,105.145662,83.039384
Bruce Lopez,18,6708 Wilson Place Apt. 911,West James,Missouri,65189,39.542117,-35.779196
Todd Fox,18,78538 Graham Course,East Tyler,South Carolina,24274,-73.462070,-11.4826945
Matthew Kennedy,18,8292 Crystal Common,Torrestown,Texas,86265,-48.384377,58.6876695
Tina Bradley,18,577 Michael Field Apt. 050,Lake Reginald,Colorado,90410,-20.288932,4.0595645
Daniel Esparza,18,1426 Scott Loop,New Stevenborough,California,68329,-60.507457,-82.880851
Jeffrey Phillips,18,435 Brian Hollow Suite 986,Millerside,Hawaii,05100,108.710378,67.933103
Madison Gardner,18,550 Campbell Burgs,East Sylviahaven,Nebraska,30268,169.054701,-55.9036565
Janet Jackson PhD,18,4393 Kevin Mission,New Josephberg,Wisconsin,25394,156.068847,-4.888298
Anthony Mcclure,18,257 Jeffrey Mountains Apt. 324,North Devinbury,North Dakota,28741,175.602360,-6.1494155
Jessica Gonzalez,18,693 Nicole Ramp Suite 013,New Marcoport,North Carolina,73533,-162.670027,12.6401305
Danielle Carr,18,92941 Mark Field,Port Julie,Vermont,45482,174.622157,4.953730
Sharon Davis,18,7546 Brady Mountain,Samuelside,Pennsylvania,23047,-27.389827,69.5655225
Beth Cox,18,6542 Morgan Center Apt. 192,East Brandon,Louisiana,38116,22.858325,-39.3534995
Rhonda Blake,18,13795 Kayla Vista Suite 393,East Craig,Wisconsin,82358,-171.639432,66.945369
Tracie Reilly,18,984 Henry Flats,West Lindaburgh,Vermont,94365,134.985111,48.6437545
Robert Hernandez,18,700 Cheryl Mall Suite 214,Natalieberg,Alaska,67176,107.265868,45.2803485
Mary Phillips,18,830 Jenkins Falls,North Pennyhaven,Alabama,95336,-19.146687,-84.3115165
Kristie Bender,18,79403 Sparks Ways,West Kelly,Indiana,08085,60.030641,25.6693125
Sandra Peters,18,89287 Heather Passage Suite 827,New Andrew,Minnesota,70949,25.680469,73.408152
Michelle Orozco,18,678 Jesus Manors Apt. 853,Hardyfort,North Dakota,05986,-178.798909,-8.7485085
Richard Meyer,18,99059 Joseph Creek,Faulknerside,Vermont,58053,87.912721,28.647197
Sara Williams,18,5922 Cole Underpass Suite 711,North Brandon,Alaska,44304,154.376848,34.0571245
David Gordon,18,055 Amy Knolls Suite 547,Port Jeffrey,New York,87127,-62.676724,-57.077920
Amanda Smith,18,0107 Jasmine Isle Suite 302,South Roberthaven,Montana,90756,-39.447513,-59.1184525
Joshua Cardenas,18,9988 Hill Stream Suite 987,Davidfurt,New York,34785,85.461955,69.8606885
Jeffrey Gonzalez,18,0126 Lisa Villages,East Kristinefurt,Wisconsin,32880,-47.641157,38.2785015
Amber Miller,18,885 Blake Mountains Apt. 931,Port Seth,Wyoming,34390,113.349076,-11.0711155
Jennifer Simmons,18,77480 Clinton Junction Suite 052,Port Edwardville,Vermont,73119,-126.113434,29.108963
Benjamin Morse,18,3660 Leach Cliffs,Phamshire,Mississippi,04115,-161.295484,58.305618
Laura Hull,18,0116 Autumn Forks Suite 246,Nicholsside,Virginia,67560,67.817866,-64.5119945
Isaac Young,18,01814 Ryan Alley Suite 830,North Tamara,Georgia,41451,83.509951,35.0999275
Jacob Stanley,18,29912 Frank Green Apt. 158,South Kimberlybury,Oregon,97973,-97.585665,-17.217369
Charlotte Hayes,18,9910 Mccoy Port Apt. 186,Christopherland,Alaska,10115,72.006016,-16.3878855
Kenneth Rogers,18,67188 Farrell Pine,New Natalie,Maine,70337,-85.641743,-80.0765705
Stephen Allison,18,63759 Green Brook,Danielport,Arizona,73725,-108.821000,-74.1599925
Jacob Wang,18,282 Brad Gateway Apt. 211,Lake Melissachester,Montana,56091,-141.859590,-60.9909315
Steven Delacruz,18,967 David Field,Nicoleton,Indiana,18986,90.585592,-4.229520
Phyllis Vega,18,48996 Emily Ville Suite 962,West Todd,Mississippi,95335,134.752055,-38.2738535
Jason Watts,18,61615 Walker Alley Suite 628,Turnerchester,South Carolina,90948,-147.150882,49.7639365
Lauren Clark,18,204 Carter Lodge,Bethanyport,New Hampshire,64507,-84.977666,-1.674080
Grace Evans,18,49789 Adam Valley,Willistown,Illinois,89951,105.615075,-79.026973
Alexander Martin,18,179 Dennis Cliff,Kennedystad,Alaska,82749,87.644921,60.8623485
James Davis,18,20630 Schneider Roads,Lake Gregoryport,South Dakota,29569,4.390574,-24.6336545
Nathan Ellis,18,6197 Tiffany Island,Paulhaven,Nebraska,96089,160.985340,79.040946
Ernest Thompson,18,047 Sampson Turnpike Suite 794,Richardton,Iowa,61299,-98.401891,24.157044
Janet Holland,18,84594 Mann Locks,Meaganville,Rhode Island,59746,-33.495137,51.1258865
Mary Jacobs,18,41835 John Plaza Apt. 868,North Jerrybury,Idaho,78640,168.005808,68.113577
Joseph Burns,18,2846 Jones Point,East Hunter,North Carolina,73551,172.363329,77.005126
Julie Ray,18,176 Anna Estates,South Elizabethberg,West Virginia,36415,10.163213,3.205344
Kristy Simpson,18,941 Melissa Fork Apt. 603,Port Tammy,Alabama,67284,-135.421260,44.6295315
Beth Moore,18,079 Samuel Manor Suite 904,Brooksshire,Virginia,87469,103.220300,8.579317
Michael Burke,18,448 Jodi Causeway Suite 487,Johnsonville,New Hampshire,70534,80.882573,-26.629787
Anna Sullivan,18,65379 Rebecca Plains,Watkinsville,Idaho,41562,98.725794,62.4755365
Carrie Steele,18,881 Odonnell Wall,East Andrewmouth,Louisiana,48201,-37.955889,78.611839
Michelle Harris,18,83342 Hayes Mountains Apt. 302,Elijahmouth,Wisconsin,69182,128.311839,-62.9527815
Jorge Saunders,18,5144 Alexander Squares Suite 494,Sherryborough,West Virginia,44486,-62.141438,50.724795
Kathy Wilkins,18,185 Isaiah Unions,Deannaville,Michigan,48085,122.885013,-81.3061575
Miguel Johnson,18,610 Tanner Lock Apt. 795,South Aliciamouth,Massachusetts,30412,-94.372354,-22.5916645
Justin Brooks,18,24834 Lee Estates,Drakebury,Colorado,34961,-140.029515,75.089647
Shawn Oliver,18,69622 Vincent Port,Matthewstad,Kentucky,89471,-145.099467,-71.7977805
Morgan Mendoza,18,754 Emily Walk,Jenniferport,Alabama,34474,-0.111832,72.091887
Richard Johnson,18,62336 Rivera Common,Lisaton,Arizona,02945,42.861489,-74.932994
Gina Snow,18,35844 Mason Valley,Rogersfort,Connecticut,49227,157.087293,34.8128025
Christopher Rodriguez,18,74600 Conner Dam,Debramouth,Colorado,33651,38.618017,-24.7177895
Leslie Martin,18,91127 Shepherd Club Apt. 012,Jenniferchester,Pennsylvania,13408,-65.303868,80.8558475
Tiffany Brown,18,519 Lori Run,Mannington,West Virginia,39125,171.966913,-49.3344495
Kevin Holt,18,5285 Sanders Ridge Apt. 446,Brianfort,Illinois,97159,54.087143,-25.8276545
Jessica Watson,18,953 Catherine Fort,Merrittshire,Mississippi,76943,131.476844,-32.782114
Michael Simmons,18,95282 Kenneth Causeway,Goodmantown,Texas,64938,-118.653460,68.653615
Yolanda Haney,18,72634 Smith Canyon Suite 383,Coleton,Minnesota,82360,-149.915501,67.805387
Michael Johnson,18,0578 John Course,West Michelleview,California,66097,44.531526,-69.9212485
Jamie Jimenez,18,698 Jennings Drive,Turnerview,Michigan,03285,-15.371574,-71.6502195
David Brown,18,77714 Roberts Ville Suite 522,Nataliehaven,South Carolina,68098,-83.823123,88.432272
Anna Kelly,18,7211 Lee Ford Apt. 243,East Mary,New Jersey,71900,175.893652,-78.9970445
Michelle Watson,18,49269 Harris Squares Apt. 118,Sharpview,Wisconsin,34011,131.300628,-23.403969
Danielle Griffin,18,6796 Christopher Junction,Port Catherinefort,Iowa,10162,10.271059,-26.939791
Michael Gonzalez,18,983 Thomas Orchard Apt. 475,Jennifertown,Illinois,23987,20.598382,15.2641615
Nicole Smith,18,435 Joshua Springs,Port Mckenziebury,Rhode Island,77845,-130.592219,-77.323753
Tanya Delgado,18,19943 Alvarez Underpass,Amandaside,South Dakota,80370,-136.409009,66.2636705
Christine Diaz,18,23007 Mitchell Stravenue,Patrickchester,Rhode Island,88290,14.244432,12.5754805
Linda Phelps,18,7217 Michael River,West Jonathanchester,Iowa,21702,-59.723085,-84.4081235
Samantha Brown,18,527 Thomas Plaza Apt. 324,Port Brandonburgh,Wyoming,03835,117.695715,-88.8228895
Terry Thomas,18,028 Porter Neck,Lake Patrick,Maine,54194,97.448588,18.4631435
Tamara Oneill,18,6796 Johnson Throughway Suite 127,Lake Alec,Ohio,71437,169.339062,7.525548
Kristin Thomas,18,364 Gross Rue Suite 088,Shawnville,Michigan,86526,-100.967215,-26.9136085
Joshua Allen,18,882 Michelle Mission Apt. 630,East Nataliebury,California,13076,-147.598890,61.5172265
Michael Weaver,18,884 Goodwin Track Apt. 943,North Tyler,Vermont,10889,171.340353,-22.1046725
Shannon Nelson,18,26435 Torres Rest Apt. 256,Jonesfurt,Alabama,66453,102.788668,72.2314355
Sherri Garcia,18,664 Franklin Views,West Sherryville,North Carolina,12444,74.504413,17.7117985
Brandon Rogers,18,809 Thompson Meadow,Lake Jamietown,Pennsylvania,95782,9.006870,67.253019
Lisa Bullock,18,21068 Brian Islands,Russellberg,Delaware,33479,79.924682,-66.294880
Mark Smith,18,978 Jacob Grove Suite 105,Ashleyberg,Tennessee,45134,54.807694,75.642815
Mark Sanders,18,0579 Gloria Cape,Wilkinsonshire,Montana,68132,46.368354,2.9066975
Gabriel Riley,18,29923 Aaron Villages,Brooksberg,Arkansas,62413,7.265053,-63.8771235
Brittany Munoz,18,0965 Brian Roads Apt. 603,Donovanbury,Indiana,58531,146.607185,-14.597954
Valerie Mclaughlin,18,7724 Susan Station,Davisbury,New Hampshire,62349,132.727290,84.4904345
Ashley Kelly,18,00411 Thomas Forest,Brookemouth,Wisconsin,16318,1.865763,-28.2233105
Robin Jones,18,0670 Shelby Crescent Suite 243,Karenmouth,Minnesota,17446,167.664981,43.6545495
Stacey Wilson,18,867 Sonia Crest Apt. 555,Lake Heatherland,Illinois,99908,-66.464166,12.214983
Nicole Diaz,18,89142 William Isle Suite 862,Smithside,Maine,13003,160.926614,45.0117255
Tony Herrera,18,1791 Jones Stravenue Suite 718,Lake Dawn,Kansas,10145,119.887746,-18.4853205
Derrick Rodgers,18,871 Guzman Trail Suite 529,North Jessica,New York,40346,15.988305,15.8096705
Gabriel Mitchell,18,6623 Smith Wall Apt. 241,East Teresa,West Virginia,93622,-25.802114,53.685666
Patrick Walters,18,4171 Mitchell Via,Kruegermouth,Wisconsin,86549,-84.851662,60.7483635
Courtney Sharp,18,617 Flores Drive Apt. 670,West Cesarhaven,Kansas,70600,81.344340,38.946045
Rebecca Vasquez,18,30286 Elizabeth Stream,West Jamesport,Kansas,15444,43.308135,-74.494071
James English,18,36438 Michael Junction,Baxterside,Washington,22031,30.102294,-84.0881025
Dale Greer,18,69289 Moses Flats,New Theresaview,New Hampshire,17935,35.733139,77.1158165
Melissa Lyons,18,2733 Daniel Throughway Apt. 836,Jasonview,Alaska,06930,-156.319066,41.360000
Eric Morrison,18,82722 Bowers Mount,Wellsfurt,New Mexico,69178,44.141710,-78.8545485
Ronald Green,18,8628 Jennifer Way,Williamfurt,Kentucky,68256,-90.170247,-83.886574
Todd Williams,18,8558 Gutierrez Via Apt. 787,North Susantown,Virginia,73095,-70.573270,-17.953553
Nancy Richardson,18,628 Christopher Court,West Steven,Alabama,66762,-159.522354,40.2753835
Patricia Johnson,18,3393 Duran Cape,Grahamton,Montana,81002,21.503691,10.173315
Brett Miranda,18,50202 Robert Spur Suite 066,Frankberg,Oklahoma,03860,13.914191,5.074532
Anna Barnes,18,32778 Joshua Streets,Walkerborough,North Carolina,15123,109.901210,-36.2653125
David Kennedy,18,5952 Thompson Street Suite 266,Michaelview,North Dakota,57126,147.241995,-63.1006695
Pamela Benson,18,739 Robert Vista Apt. 631,Huffmanview,Idaho,69513,25.698913,7.882481
Jonathan Simon,18,3788 Paul Roads,New Dylan,Arkansas,64884,-118.439988,20.1425665
Anthony Jackson,18,9750 Smith Hills Suite 492,Mckayburgh,Kansas,03621,153.429782,23.6190835
Peter Pruitt,18,01589 Gomez Forges Suite 519,Wrightside,Alabama,32091,-97.580078,-32.107049
Jeanne Robinson,18,1028 Mcbride Ridge Suite 449,West Susanstad,Texas,76275,139.328920,-71.7934935
Amy Sanchez,18,39012 Curry Junction,New Jesse,Missouri,58584,-83.335928,23.4798315
Misty Horton,18,88692 Wilson Streets,Wagnerside,Florida,24666,-18.361675,-20.963127
Noah Harrison,18,9703 Nunez Cove Apt. 121,Shortfort,Florida,57810,-7.527693,-11.730250
Amber Kent,18,7984 Brandon Forge Suite 457,North Lee,Nebraska,02089,43.187380,-87.0539615
Ashley Williamson,18,411 Strong Place,Jayton,North Carolina,91464,70.115907,28.111277
Melissa Brooks,18,204 Kelly Shores Apt. 408,Michaelfort,New York,33521,-144.627105,-57.071104
Ronald Barnes,18,94862 Jason Road,Colleenbury,California,63208,-167.852939,45.644895
Jose Olson,18,84440 Eric Alley,Scottburgh,Wisconsin,04741,-36.708785,72.686754
Chad Whitehead,18,562 Bailey Turnpike,East John,Georgia,97910,100.601723,77.8899215
Richard Stone,18,014 Rosales Shores,Richardsonland,New Jersey,66771,-90.706983,-59.151756
Jay Johnson,18,3988 Wu Terrace,Erinstad,New Hampshire,44917,-139.403152,87.795713
Kristi Simmons,18,891 Jason Rapid,Caldwellborough,New Mexico,07889,-170.998894,12.972691
Trevor Wilson,18,4125 Deleon Land Suite 628,Cruzland,Oregon,33284,-67.071215,9.950816
Kara Moore,18,05042 Catherine Glens Apt. 960,South Apriltown,New Hampshire,89797,-156.318125,80.4389765
Patricia Crawford,18,5083 Nicole Square Suite 896,South Jessicaburgh,Texas,51348,65.617592,-35.752825
Angela West,18,891 Joseph Road,Hannahmouth,Oregon,11506,-31.369124,7.129640
